message,label,is_fraud
"Dear customer your SBI account has been blocked due to pending KYC update. Click http://sbi-kyc-auth.cc to verify OTP immediately",Banking_OTP,1
"Your HDFC debit card has been disabled. Submit one-time password at http://hdfc-verify.cc to reactivate",Banking_OTP,1
"URGENT: ICICI Bank alert. We noticed suspicious login from Moscow. Enter OTP sent to phone to cancel transfer",Banking_OTP,1
"Axis Bank Notice: Your netbanking will terminate in 1 hour. Verify phone number and submit OTP to restore access",Banking_OTP,1
"Dear user your PNB account will be suspended today. Share the 6 digit verification code received on SMS to avoid suspension",Banking_OTP,1
"Bank of Baroda alert: Your debit card is locked. Share OTP received on your mobile to unlock card immediately",Banking_OTP,1
"Canara Bank: Critical security alert. Unrecognized debit of Rs 45000 scheduled. To decline, provide OTP to bank officer",Banking_OTP,1
"Your Kotak 811 account KYC has expired. Complete biometric verification with OTP at http://kotak-portal.link",Banking_OTP,1
"Security Alert: Your one-time password for transaction authorization is 492019. Do not disclose this OTP to anyone including bank staff",Legitimate,0
"Your HDFC Bank OTP for login is 839102. Valid for 3 mins. Bank never calls asking for OTP",Legitimate,0
"Your SBI NetBanking profile password changed successfully on 05-Sep-2026. If not you, contact 1800112211",Legitimate,0
"Dear Customer, INR 5,200 credited to your ICICI Bank account XX3021 via NEFT from Acme Corp. Balance: INR 38,400",Legitimate,0
"Your electricity bill payment of INR 1,480 is successful. Transaction reference #TXN902819. Consumer ID 8391028",Legitimate,0
"Your Swiggy order #928192 has been delivered by delivery partner Rahul. Enjoy your meal!",Legitimate,0
"Hi, I accidentally sent Rs 5000 to your PhonePe account. Please scan this QR code and enter your UPI PIN to approve the refund",UPI_Fraud,1
"Google Pay Prize: You won Rs 2000 cashback reward. Scan this QR code and punch in UPI PIN to deposit cash into your account",UPI_Fraud,1
"Paytm Refund Department: Your payment of Rs 1200 failed. Accept collect request and enter UPI PIN to receive money back",UPI_Fraud,1
"OLX Buyer payment confirmation: Scan QR to receive Rs 7500 for your used bicycle listing directly in your bank account",UPI_Fraud,1
